Marine Drive Rain Gage - 7305 N. Marine Dr.

PROVISIONAL, UNCORRECTED RAW DATA FROM THE CITY OF PORTLAND HYDRA NETWORK.
Data are the number of tips of the rain gage bucket.
Each tip is 0.01 inches of rainfall.
 [-, missing data]
Dates and times are PACIFIC STANDARD TIME.

            Daily  Hourly data -->
   Date     Total    0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23
------------------------------------------------------------------------------------------------------------------
13-JAN-2010     4    1   2   0   0   0   0   1   0   0   0
12-JAN-2010    64    8  10   8   1   0   1   0   0   0   0   2   7   2   6   4   0   2   3   9   0   0   0   1   0
11-JAN-2010     9    0   0   0   0   0   0   1   2   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   5
10-JAN-2010     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
09-JAN-2010     5    4   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
08-JAN-2010    79    4   9   8   1   4   0   0   1   1   1   0   0   0   0   0   6   9   8   2   4   5   6   6   4
07-JAN-2010     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
06-JAN-2010     8    0   4   1   3   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
05-JAN-2010    32    0   0   0   0   0   1   0   0   0   1   0   0   0   0   0   0   0   1   1   2   9   9   5   3
04-JAN-2010    48    0   0   0   0   1   1   2   2   5   4   8  13   3   3   2   0   0   0   1   1   1   0   1   0
03-JAN-2010     1    0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
02-JAN-2010     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
01-JAN-2010    31    3   3   6   0   0   4   2   1   0   0   2   0   1   1   4   1   2   1   0   0   0   0   0   0
31-DEC-2009    92    0   0   0   0   0   0   4   6  13   9  10   9   3   5   4   5   4   1   2   3  13   1   0   0
30-DEC-2009    49    0   0   1   0   0   0   1   1   0   3   9  12  12   5   5   0   0   0   0   0   0   0   0   0
29-DEC-2009     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
28-DEC-2009     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
27-DEC-2009     1    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0
26-DEC-2009     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
25-DEC-2009     1    0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
24-DEC-2009     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
23-DEC-2009     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
22-DEC-2009     1    0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
21-DEC-2009    21    1   1   0   0   4   0   0   1   7   4   1   0   0   0   0   0   0   0   0   0   0   0   1   1
20-DEC-2009    33    0   0   0   0   0   1   1   1   1   1   0   0   0   0   3   2   4   3   4   7   0   5   0   0
19-DEC-2009     7    0   0   1   0   1   2   0   0   0   0   0   1   0   0   0   1   0   0   1   0   0   0   0   0
18-DEC-2009     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
17-DEC-2009     8    0   0   0   0   0   0   0   0   0   2   1   1   0   0   0   1   2   1   0   0   0   0   0   0
16-DEC-2009    67    0   0   0   0   0   0   0   2   1  14   3  15  14   6   1   1   7   0   0   0   3   0   0   0
15-DEC-2009   136    7   9   5   9   7   4   3  10  10  10   3   5   7   6   2   4   9   9  11   2   3   0   0   1
14-DEC-2009    65    0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   1   5   8   8   4   7  11  11   9
13-DEC-2009     1    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0
12-DEC-2009     1    0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0
11-DEC-2009     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
10-DEC-2009     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
09-DEC-2009     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
08-DEC-2009     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
07-DEC-2009     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
06-DEC-2009     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
